,Title,Year,Page Number,Subject
229,"  Letter from the Secretary of War, communicating, in compliance with a Senate resolution of February 9, 1872, information relative to the estimated cost of improving the navigation of Red River at or near Tone's Bayou. March 25, 1872. -- Ordered to lie on the table and be printed.",1872,22.0,Engineering
230,"  Survey of Sandusky Bay, Ohio. Letter from the Secretary of War, transmitting a report and plan of the the survey of Sandusky Bay, in the State of Ohio. January 21, 1828. Read, and referred to the Committee on Commerce.",1828,23.0,Engineering
231,  Foden's mechanical tables.,1890,23.0,Engineering
232,"  Authorizing employment of consulting engineers on plans and specifications for Coolidge Dam. February 8, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,23.0,Engineering
233,"  The School of Military Engineering, 1812-1909",1909,23.0,Engineering
239,  Reinforced concrete pile manufacture and pile driving at the Palar Anicut,1906,23.0,Engineering
242,"  Breakwater at the capes of Delaware. Letter from the Secretary of Navy, in reply to a resolution of the House of Representatives of the 6th ultimo, requiring information in relation to the effect of a breakwater at the capes of the Delaware, as a shelter from storms, to the public and private vessels of the United States, &c. March 14, 1826. Read, and referred to the Committee on Commerce.",1826,24.0,Engineering
243,"  Read. Weekly 1d. 5/- per annum. Subscribe. A popular scientific weekly journal. Electricity & Electrical Engineering. Publishing office: 29 Ludgate Hill, London, E.C ... The only electrical paper at the popular price. Published every Friday. Full of interesting articles on the leading electrical subjects of the day.",1885,24.0,Engineering
244,"  The Ladies' Accommodation Association ... : The Association requires the use of W.C.'s on the ground floor or a few steps above or below the ground floor they must be well lighted, as also the approaches thereto. The Association will fit up with a new closet and linoleum mat and mirror, and also provide toilet paper and keep it in repair ...",1888,24.0,Engineering
245,"  Ebenezer Lobdell. (To accompany Bill H.R. No. 366.) January 9, 1838.",1838,24.0,Engineering
246,"  Thomason College Library, supplement to catalogue, corrected up to 31st March 1869.",1869,24.0,Engineering
247,  A lecture on standardisation and its relation to the trade of the country,1909,24.0,Engineering
248,  Crippling strength of axially loaded rods,1921,24.0,Engineering
250,"  Great Kills, Staten Island, N.Y. Letter from the Secretary of War transmitting a report from the Chief of Engineers on preliminary examination and survey of Great Kills, Staten Island, N.Y. February 11, 1926. -- Referred to the Committee on Rivers and Harbors and ordered to be printed, with illustration.",1926,25.0,Engineering
251,  Organization and administration,1977,25.0,Engineering
253,  [Circular] : I respectfully claim your attention to the subjoined statement of the organization and the position actuelle of the Brantford and Buffalo Railroad Company : early in the month of January last ...,1851,25.0,Engineering
254,"  Elements of civil engineering : being an attempt to consolidate the principles of the various operations of the civil engineer into one point of view, for the use of students … Illustrated by nine copperplates, containing 273 figures and interspersed with various useful tables",1839,25.0,Engineering
257,"  An elementary course of architecture and civil engineering, compiled from the most approved authors for the use of the cadets of the Virginia Military Institute.",1850,25.0,Engineering
258,"  The mechanic's text-book and engineer's pocket guide: containing a concise treatise on the nature and application of mechanical forces : action of gravity the elements of machinery rules and tables for calculating the working effects of machinery of the strength, resistance, and pressure of materials with tables of the weight and cohesive strength of iron and other metals. Compiled and arranged",1849,25.0,Engineering
260,  An Epitome of Engineering. Compiled by a Subordinate of the Madras Public Works Department. Illustrated by 18 plates. [By A. V. Ramachandra Aiyar.],1896,26.0,Engineering
261,  [An Epitome of Engineering. Compiled by a Subordinate of the Madras Public Works Department. Illustrated by 18 plates. [By A. V. Ramachandra Aiyar.]],1906,26.0,Engineering
262,  [An Epitome of Engineering. Compiled by a Subordinate of the Madras Public Works Department. Illustrated by 18 plates. [By A. V. Ramachandra Aiyar.]],1916,26.0,Engineering
263,"  Paper on the Thul Ghaut railway incline: read at the Bombay Mechanics' Institution, in the Town Hall, on Monday, December 10, 1860",1861,26.0,Engineering
264,"  [A Collection of views of] Parliament Buildings, Ottawa Capitol, Washington Windsor Castle Parliament Buildings ... Toronto Niagara Falls Cliff House, San Francisco City Hall,[San Francisco] Toronto University. 8 views.",1905,26.0,Engineering
266,"  The catalogue of Crosby Lockwood & Son (engineering titles) and publications of the Engineering Standards Committee: July, 1909.",2005,26.0,Engineering
267,"  A description of the canals and railroads of the United States, comprehending notices of all the works of internal improvements throughout the several States",1970,26.0,Engineering
269,"  Prospects of all the Cathedral & Collegiate Churches of England and Wales, neatly engraved. Veués de toutes les Eglises Cathedrals et Collegiats d'Angleterre et de Galle ... proprement Gravée [sic]. (John Bowles excudit. British Views, no. 1).",1720,26.0,Engineering
270,  Sketches of Churches. With short descriptions. By H.E. Relton.,1843,27.0,Engineering
271,"  English Houses & Gardens in the 17th and 18th centuries. A series of Birds-Eye Views ... by Kip, Badesladse, Harris and others ... With descriptive notes by M. Macartney, etc.",1908,27.0,Engineering
272,  The Castles and Abbeys of England By W. Beattie. Vol. 1.,1842,27.0,Engineering
274,  The New epoch as developed by the manufacture of power,1903,27.0,Engineering
275,  Conservation through engineering,1920,27.0,Engineering
276,  Training electrical engineers ...,1906,27.0,Engineering
277,"  Papers relating to the Mitrow Canal in the Eastern Narra Districts, Sind : with plans and estimates of roads, bridges, &c.",1867,27.0,Engineering
279,  Slides at the Panama canal,1916,27.0,Engineering
280,"  Halifax and Windsor Railroad : reports, plan and estimates.",1849,28.0,Engineering
282,  To the honorable the free and independent members of the House of Commons assembled in Parliament at Ottawa,1885,28.0,Engineering
283,  Corps papers and memoirs on military subjects : compiled from contributions of the officers of the Royal Engineers and the East India Company's engineers.,1849,28.0,Engineering
284,"  Report of D.M. Greene, C.E. to the Water Works Committee, of the corporation of the city of Ottawa.",1871,28.0,Engineering
285,  Report on the canal navigation of the Canadas,1844,28.0,Engineering
286,  Official documents and other information relating to the improvement of the ship channel between Montreal and Québec.,1884,28.0,Engineering
287,"  [Reports relating to the work remaining to be done by the company, and to the character of the country on the western section of the line]",1884,28.0,Engineering
288,"  On the necessity of a school of arts for the dominion : a paper read before the Canadian Society of Civil Engineers at their meeting of the 26th May, 1887",1887,28.0,Engineering
289,  Transportation on our inland waterways and canals,1894,28.0,Engineering
290,  Construction of a guard lock,188-,29.0,Engineering
291,"  Report of Charles W. Fairbanks, engineer of the Inland Navigation Company : adopted at the annual meeting of the company, held on the 4th April, 1855.",1855,29.0,Engineering
292,  Fraser Valley Dykes : the great area they make safe for the operations of the farmer : how government aid has made a success where private effort failed.,1898,29.0,Engineering
293,"  Address of James Bicheno Francis, President of the American Society of Civil Engineers : at the thirteenth annual convention of the Society, at Montreal, June 15, 1881.",1881,29.0,Engineering
294,"  The art of fair building : wherein are augmentations of the newest buildings made in France, by the designes and ordering of M. le Muet and others.",1675,29.0,Engineering
